recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
47,"J05019+011 ",1RXS J050156.7+010845,"     0",75.48620833333332,1.144861111111111,M4.0V," ",6.5,0.1,1,1RXS J050156.7+010845,75.48620833333332,1.144861111111111
48,"J05033-173 ",LP 776-049,"  3325",75.83266666666665,-17.37544444444444,M3.0V,<,2.0,0.3,0,LP 776-049,75.83266666666665,-17.37544444444444
49,"J05062+046 ",RX J0506.2+0439,"     0",76.55399999999999,4.657166666666666,M4.0V," ",24.9,0.1,1,RX J0506.2+0439,76.55399999999999,4.657166666666666
50,"J05127+196 ",GJ 192,"   192",78.17720833333333,19.666694444444442,M2.0V,<,2.0,5.0,0,GJ 192,78.17720833333333,19.666694444444442
51,"J05280+096 ",Ross 41,"   203",81.99979166666665,9.640666666666664,M3.5V,<,2.0,5.0,0,Ross 41,81.99979166666665,9.640666666666664
52,"J05314-036 ",HD 36395,"   205",82.86741666666666,-3.6862499999999994,M1.5V,<,2.0,5.0,1,HD 36395,82.86741666666666,-3.6862499999999994
53,"J05337+019 ",V371 Ori," 207.1",83.43566666666665,1.9447499999999998,M2.5V," ",9.8,0.3,1,V371 Ori,83.43566666666665,1.9447499999999998
54,"J05348+138 ",Ross 46,"  3356",83.716625,13.877944444444443,M3.5V,<,2.0,0.3,0,Ross 46,83.716625,13.877944444444443
55,"J05360-076 ",Wolf 1457,"  3357",84.00079166666666,-7.647555555555554,M4.0V,<,2.0,5.0,0,Wolf 1457,84.00079166666666,-7.647555555555554
56,"J05365+113 ",V2689 Ori,"   208",84.12912499999999,11.327638888888888,M0.0V," ",3.8,0.3,1,V2689 Ori,84.12912499999999,11.327638888888888
57,"J05366+112 ",2M J05363846+1117487,"     0",84.16024999999999,11.29661111111111,M4.0V," ",2.4,0.3,1,2MASS J05363846+1117487,84.16024999999999,11.29661111111111
58,"J05415+534 ",HD 233153,"   212",85.37808333333332,53.487583333333326,M1.0V,<,2.0,0.1,1,HD 233153,85.37808333333332,53.487583333333326
59,"J05421+124 ",V1352 Ori,"   213",85.54741666666665,12.482583333333332,M4.0V,<,2.0,5.0,0,V1352 Ori,85.54741666666665,12.482583333333332
60,"J06000+027 ",G 099-049,"  3379",90.01591666666666,2.7063888888888883,M4.0V," ",4.9,0.3,1,G 099-049,90.01591666666666,2.7063888888888883
61,"J06011+595 ",G 192-013,"  3378",90.29512499999998,59.593194444444435,M3.5V,<,2.0,0.1,0,G 192-013,90.29512499999998,59.593194444444435
62,"J06024+498 ",G 192-015,"  3380",90.62208333333332,49.86194444444444,M5.0V,<,2.0,0.3,0,G 192-015,90.62208333333332,49.86194444444444
63,"J06103+821 ",GJ 226,"   226",92.58429166666666,82.10099999999998,M2.0V,<,2.0,5.0,0,GJ 226,92.58429166666666,82.10099999999998
64,"J06105-218 ",HD 42581A,"  229A",92.64358333333332,-21.86772222222222,M0.5V,<,2.0,0.3,1,HD 42581,92.64358333333332,-21.86772222222222
