PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I03416+5513,,55.405293,55.218575,0.095,-0.119,0.155,-0.26,,,11.34,T,8.35,7.65,7.5,MDM,4794.8,0.727,0.864,0.806,0.955,0.939,0.979,0.07,M0.0,1.07,4.5,3700,,,0.0284,0.0022,0.03,0.008,0.033,0.01,,-20.3,-6.3,-0.83,Y,,,1,2M,PM J03416+5513
I03419+5113,,55.492615,51.21986,0.016,-0.039,,,,21.33,11.92,P,8.92,8.22,8.08,MDM,4794.81,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J03419+5113
I03433+3401,,55.845638,34.033211,-0.073,0.014,,,,,11.09,T,8.32,7.59,7.49,MDM,5815.98,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J03433+3401
I03437+1640,Gl  150.1 B,55.938515,16.667305,0.159,-0.313,,,,19.59,10.83,T,7.53,6.91,6.69,UH22,5818.0,0.584,0.798,0.673,0.958,0.874,0.936,1.44,M1.5,0.96,5.0,3540,P,,0.0599,0.0024,0.057,0.016,0.058,0.017,,-26.7,-7.8,0.46,,,,1,2M,PM J03437+1640
I03438+1640,Gl  150.1 A,55.968987,16.672066,0.155,-0.32,,,21.56,18.77,9.99,T,7.05,6.41,6.25,UH22,5818.01,0.702,0.86,0.808,0.976,0.946,0.978,0.11,M0.0,0.95,4.5,3760,P,,0.0565,0.0019,0.054,0.015,0.058,0.017,,-28.5,-8.8,0.48,,,,1,2M,PM J03438+1640
I03445+3458,,56.12891,34.973148,0.198,-0.161,,,,,10.63,T,7.91,7.26,7.09,MDM,5815.99,0.758,0.869,0.86,0.979,0.944,1.053,-0.19,M0.0,0.88,5.0,3860,,,0.0395,0.0022,0.035,0.009,0.034,0.01,,-28.5,0.1,0.43,,,,1,2M,PM J03445+3458
I03454+7259N,,56.36644,72.99231,0.205,-0.44,,,,20.89,11.86,T,8.3,7.62,7.42,MDM,2655.65,0.6,0.803,0.67,0.939,0.864,0.917,1.41,M1.5,1.02,4.5,3540,,,,,0.04,0.011,0.048,0.014,-41.0,,-24.2,0.48,,,,1,2M,PM J03454+7259N
I03455+7018,,56.382874,70.300072,0.134,0.019,,,,21.12,12.44,P,8.93,8.27,8.09,MDM,5098.98,0.608,0.827,0.721,0.914,0.892,0.933,1.02,M1.0,0.94,4.5,3540,,,,,0.027,0.007,0.035,0.01,,-14.1,16.7,0.52,,,,0,2M,PM J03455+7018
I03459+1442,,56.478539,14.714324,0.088,-0.25,,,,20.76,12.25,P,8.77,8.08,7.92,MDM,4794.83,0.61,0.82,0.643,0.958,0.88,0.973,1.29,M1.5,1.18,4.5,3640,,,,,0.031,0.008,0.037,0.011,,-37.0,-14.7,0.62,,,,1,2M,PM J03459+1442
I03463+2612,Gl  154,56.583858,26.215528,0.387,-0.198,0.0366,-0.65,21.39,18.29,9.61,T,6.69,6.05,5.84,MDM,4790.83,0.697,0.85,0.764,0.942,0.951,0.955,0.26,M0.5,1.12,4.5,3700,P,,0.0678,0.0021,0.066,0.018,0.068,0.02,,-27.7,7.0,0.41,,,,1,2M,PM J03463+2612
I03466+8207,,56.674992,82.13089,0.087,-0.076,,,,20.29,11.99,T,8.99,8.34,8.12,MDM,5813.97,0.634,0.804,0.747,1.004,0.902,1.1,0.96,M1.0,0.86,4.5,3700,,,,,0.026,0.007,0.025,0.007,-16.2,,0.1,0.52,,,,0,2M,PM J03466+8207
I03479+0247,Gl  155.1,56.992146,2.787866,-0.387,-0.431,,,,20.63,11.05,T,7.96,7.38,7.11,MDM,4794.84,0.645,0.834,0.704,0.947,0.913,0.985,0.82,M1.0,1.13,4.5,3630,P,,0.0594,0.0024,0.041,0.011,0.042,0.012,,-5.6,-35.9,0.51,,,,1,2M,PM J03479+0247
I03486+7332,GJ 3248,57.159214,73.54306,0.398,-0.272,,,,20.99,11.24,T,7.99,7.36,7.17,MDM,5813.98,0.554,0.772,0.657,0.959,0.858,0.997,1.78,M2.0,0.88,4.5,3550,P,,0.0607,0.0121,0.051,0.014,0.046,0.013,-25.9,,3.6,0.48,,,,1,2M,PM J03486+7332
I03505+6327,GJ 3251,57.640472,63.45517,-0.005,-0.239,,,,,11.53,T,8.19,7.49,7.34,MDM,5099.0,0.569,0.812,0.674,0.907,0.857,0.902,1.48,M1.5,0.95,4.5,3510,P,,0.0267,0.0029,0.043,0.012,0.044,0.013,,-17.8,-33.2,0.59,,,,1,2M,PM J03505+6327
I03507+7635,,57.676922,76.58773,-0.018,0.083,,,,,11.82,T,8.89,8.23,8.07,MDM,5813.99,0.776,0.878,0.879,0.984,0.934,1.058,-0.28,K7.5,0.85,5.0,3850,,,,,0.022,0.006,0.025,0.007,13.2,,10.6,0.62,,,,0,2M,PM J03507+7635
I03519+3946,,57.992195,39.782448,0.013,-0.061,0.0371,-0.17,,,11.02,T,8.28,7.63,7.47,MDM,5816.0,0.754,0.86,0.844,0.984,0.945,1.053,-0.1,M0.0,0.94,5.0,3860,,,,,0.03,0.008,0.029,0.009,,-7.7,-6.0,0.57,,,,0,2M,PM J03519+3946
I03526+1701,GJ 3253,58.174007,17.017845,0.427,-0.636,,,,21.92,14.34,P,8.93,8.38,8.05,UH22,5818.01,0.354,0.643,0.338,0.884,0.573,0.717,4.77,M5.0,1.0,4.5,2990,P,,0.1016,0.0021,0.081,0.033,0.093,0.027,,-35.2,-5.8,0.01,,,Y,1,2M,PM J03526+1701
I03531+6234,,58.293411,62.568878,0.028,-0.265,,,,,11.84,T,7.78,7.28,7.0,MDM,3764.57,0.466,0.723,0.509,0.916,0.763,0.839,3.04,M3.0,0.97,5.0,3400,,,,,0.078,0.031,0.081,0.024,,-8.0,-10.8,0.45,,,,1,2M,PM J03531+6234
I03542+0833,,58.566643,8.55868,0.238,-0.067,,,,,11.94,T,8.94,8.34,8.14,UH22,5078.05,0.685,0.851,0.784,0.973,0.941,0.97,0.29,M0.5,0.98,4.5,3650,,,0.0276,0.0037,0.023,0.006,0.025,0.007,,-35.4,19.8,0.52,,,,1,2M,PM J03542+0833
I03555+5444,,58.886055,54.740101,0.032,-0.028,,,,19.43,10.3,T,7.51,6.91,6.76,MDM,5815.02,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J03555+5444
I03557+4323,,58.943554,43.38596,-0.14,0.034,,,,18.81,10.6,T,7.88,7.25,7.13,MDM,5816.0,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J03557+4323
I03567+5333,Gl  156.1 A,59.197422,53.560253,0.309,-0.406,,,,,10.86,T,7.81,7.12,6.96,MDM,2976.77,0.608,0.819,0.666,0.957,0.872,0.913,1.28,M1.5,1.1,4.5,3570,P,,0.0371,0.0033,0.049,0.013,0.044,0.013,,-54.1,-14.3,0.48,,,,1,2M,PM J03567+5333
I03586+5201,,59.651161,52.023659,0.373,-0.212,,,,,12.33,P,8.92,8.24,8.07,MDM,5094.96,0.636,0.805,0.674,0.965,0.898,1.021,1.14,M1.0,1.12,4.5,3560,,,,,0.028,0.008,0.033,0.01,,-60.8,13.5,0.67,,,,1,2M,PM J03586+5201
I03598+2605,Gl  157.1,59.973598,26.089872,0.729,-0.248,,,,20.85,12.84,P,8.71,8.08,7.82,MDM,2976.78,0.462,0.739,0.469,0.928,0.73,0.822,3.15,M3.0,1.07,5.0,3400,P,M,0.0438,0.0088,0.053,0.021,0.055,0.016,,-70.9,33.3,0.61,,,Y,1,2M,PM J03598+2605
I04006+3048,,60.16254,30.811218,0.036,-0.029,,,,19.34,9.75,T,7.04,6.44,6.28,UH22,5644.72,,,,,,,,G/K,,,,,,,,0.056,0.015,0.05,0.015,,-4.2,0.3,,,,,0,2M,PM J04006+3048
I04018+0939,,60.46777,9.657402,0.015,-0.038,,,,,10.54,T,7.66,7.01,6.82,UH22,5817.11,,,,,,,,G/K,,,,,,,,0.042,0.011,0.042,0.012,,-4.3,-1.2,,,,,0,2M,PM J04018+0939
I04042+2634,,61.063354,26.573507,0.212,-0.11,,,,19.81,11.24,P,8.47,7.81,7.63,MDM,3765.58,0.776,0.884,0.862,0.957,0.952,1.016,-0.36,K7.5,0.99,5.0,3860,,,,,0.026,0.007,0.027,0.008,,-39.9,12.2,0.45,,,,1,2M,PM J04042+2634
I04062+1707,,61.567574,17.120546,0.081,-0.148,,,,19.63,11.39,T,8.61,8.0,7.82,MDM,4793.82,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J04062+1707
I04077+1413,,61.933121,14.223482,0.176,-0.154,,,,,10.83,T,8.04,7.34,7.18,MDM,4793.82,0.735,0.864,0.777,0.963,0.958,0.994,0.02,M0.0,1.26,4.5,3850,,,,,0.034,0.009,0.033,0.01,,-32.4,4.0,0.61,,,,1,2M,PM J04077+1413
I04086+3338,Gl  162,62.155735,33.63702,0.525,0.126,,,,,10.18,T,7.02,6.39,6.18,MDM,4789.87,0.629,0.824,0.7,0.944,0.909,0.944,0.95,M1.0,1.06,4.5,3560,P,M,0.0744,0.0027,0.065,0.018,0.068,0.02,,-15.8,28.2,0.48,,,,1,2M,PM J04086+3338
I04120+6234,,63.013241,62.572674,0.26,-0.512,,,,,12.01,T,8.94,8.33,8.1,MDM,2653.71,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J04120+6234
I04129+5236,Gl  164,63.244991,52.611649,-0.331,-0.807,,,,,13.8,P,8.77,8.25,7.91,MDM,2976.82,0.396,0.704,0.357,0.898,0.589,0.745,4.19,M4.0,1.1,5.0,3140,P,,0.0839,0.0168,0.072,0.029,0.084,0.025,,-15.0,-46.0,0.39,,,,1,2M,PM J04129+5236
I04137+4737,,63.449421,47.629005,-0.11,-0.12,,,,,12.68,P,8.95,8.37,8.07,MDM,4414.88,0.507,0.773,0.518,0.941,0.773,0.931,2.57,M2.5,1.13,5.0,3600,,,,,0.04,0.016,0.039,0.012,,-0.7,-19.7,0.49,,,,1,2M,PM J04137+4737
I04139+8255,GJ 3262,63.482777,82.918633,0.089,-0.252,,,,19.28,10.8,T,7.95,7.24,7.11,MDM,5099.02,0.686,0.863,0.846,0.916,0.926,0.939,0.15,M0.0,0.73,4.5,3590,P,,0.0282,0.0013,0.036,0.01,0.036,0.011,-36.5,,-15.8,0.59,,,,1,2M,PM J04139+8255
I04148+2745,,63.723,27.757849,0.213,-0.076,0.0309,-0.39,,,13.11,P,8.76,8.15,7.9,MDM,4413.87,0.451,0.711,0.477,0.923,0.745,0.86,3.28,M3.5,0.99,5.0,3380,,,,,0.054,0.021,0.06,0.018,,-15.2,7.6,-0.77,Y,,,1,2M,PM J04148+2745
I04151+2306,,63.794296,23.114437,0.114,-0.039,,,,18.81,10.78,T,7.73,7.04,6.84,UH22,5847.96,,,,,,,,G/K,,,,,,,,0.041,0.011,0.046,0.013,,-11.9,6.2,,,,,0,2M,PM J04151+2306
I04159+3019,,63.989243,30.319466,0.043,-0.021,,,,,10.96,T,8.1,7.42,7.26,UH22,5644.73,,,,,,,,G/K,,,,,,,,0.035,0.009,0.034,0.01,,-5.9,2.1,,,,,0,2M,PM J04159+3019
I04167+5755,,64.193848,57.92104,0.053,-0.068,,,,19.75,10.42,T,7.46,6.77,6.63,MDM,5815.02,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04167+5755
I04187+1732,,64.698021,17.538063,0.059,-0.063,,,,,11.43,T,8.63,7.97,7.76,UH22,5818.02,0.683,0.852,0.776,0.97,0.922,0.955,0.41,M0.5,1.01,4.5,3700,,,,,0.028,0.007,0.026,0.008,,-14.7,0.6,0.57,,,,0,2M,PM J04187+1732
I04188+0123,,64.714386,1.393321,-0.002,-0.059,,,,21.75,12.26,T,8.88,8.22,8.04,UH22,5818.06,0.537,0.776,0.603,0.954,0.84,0.91,2.01,M2.0,0.99,5.0,3610,,,,,0.036,0.01,0.033,0.01,,-5.7,-3.9,0.48,,,,0,2M,PM J04188+0123
I04197+4745,,64.939606,47.758736,0.021,-0.079,,,,20.03,11.45,T,8.55,7.85,7.69,MDM,5818.91,0.722,0.84,0.845,0.996,0.948,1.101,0.07,M0.0,0.77,5.0,3770,,,,,0.027,0.007,0.028,0.008,,-11.3,-7.3,0.47,,,,0,2M,PM J04197+4745
I04199+3629,,64.99868,36.486546,0.214,-0.455,,,,,11.46,T,8.23,7.61,7.41,MDM,2895.99,0.579,0.791,0.634,0.971,0.873,0.956,1.59,M1.5,1.04,4.5,3580,,,0.0449,0.0041,0.043,0.012,0.041,0.012,,-48.8,-17.3,0.51,,,,1,2M,PM J04199+3629
I04203+1112,,65.087044,11.20943,0.03,-0.031,,,,20.81,10.36,T,7.51,6.92,6.68,UH22,5817.11,,,,,,,,G/K,,,,,,,,0.045,0.012,0.044,0.013,,-4.5,0.4,,,,,0,2M,PM J04203+1112
I04205+1449,,65.129181,14.831185,-0.018,-0.051,,,,,11.17,T,8.39,7.79,7.63,UH22,5847.96,,,,,,,,G/K,,,,,,,,0.03,0.008,0.028,0.008,,-4.4,-6.6,,,,,0,2M,PM J04205+1449
I04218+2728,,65.461624,27.476084,0.013,-0.052,,,,,12.5,P,8.77,8.11,7.89,UH22,5867.07,,,,,,,,G/K,,,,,,,,0.025,0.007,0.043,0.013,,-8.9,-4.6,,,,,0,2M,PM J04218+2728
I04219+7508,GJ 3271,65.490112,75.141129,0.54,-0.487,,,,,12.29,P,8.55,7.98,7.76,MDM,3764.61,0.484,0.744,0.531,0.927,0.775,0.911,2.77,M3.0,0.99,5.0,3530,P,,,,0.051,0.02,0.047,0.014,,-53.0,7.1,0.24,,,,1,2M,PM J04219+7508
I04224+7401,,65.618034,74.024094,0.037,-0.323,,,,20.9,12.99,P,8.85,8.19,8.01,MDM,5814.0,0.566,0.779,0.649,0.968,0.862,0.995,1.71,M1.5,0.94,4.5,3570,,M,,,0.033,0.009,0.052,0.015,,-21.6,-25.8,0.27,,,Y,1,2M,PM J04224+7401
I04225+1031,,65.633308,10.521894,0.246,0.028,,,,21.61,12.8,P,8.47,7.86,7.56,MDM,3765.6,0.454,0.726,0.464,0.93,0.702,0.874,3.34,M3.5,1.04,5.0,3400,,,,,0.063,0.025,0.068,0.02,,-9.3,13.2,0.34,,,Y,1,2M,PM J04225+1031
I04234+4934,,65.862038,49.571945,-0.027,-0.183,,,,21.07,11.87,P,8.33,7.72,7.51,MDM,4414.89,0.527,0.762,0.574,0.94,0.817,0.923,2.28,M2.5,1.01,5.0,3540,,,,,0.049,0.013,0.047,0.014,,-9.6,-14.3,0.4,,,,1,2M,PM J04234+4934
I04248+1552,,66.200211,15.874722,0.103,-0.026,0.108,0.09,,,11.66,T,8.72,8.06,7.85,UH22,5818.03,0.667,0.833,0.766,0.96,0.9,0.942,0.67,M0.5,0.95,4.5,3650,,,0.022,0.0054,0.028,0.008,0.027,0.008,,-18.4,12.6,-0.34,,,,0,2M,PM J04248+1552
I04248+3226,GJ 3280,66.204872,32.449459,0.214,-0.127,,,,22.38,11.98,T,8.82,8.25,8.05,MDM,4789.88,0.515,0.762,0.551,0.928,0.828,0.897,2.33,M2.5,1.04,5.0,3550,P,,,,0.04,0.011,0.03,0.009,,-36.8,10.9,0.42,,,,1,2M,PM J04248+3226
I04251+5131,,66.290359,51.532742,0.098,-0.101,,,,,12.43,P,8.8,8.17,7.94,MDM,5094.98,0.576,0.779,0.622,0.959,0.837,0.972,1.84,M2.0,1.04,4.5,3540,,,,,0.035,0.01,0.04,0.012,,-16.8,-0.1,0.48,,,,0,2M,PM J04251+5131
I04267+2114,,66.698433,21.234915,0.116,-0.046,,,,,11.58,T,8.72,8.08,7.94,UH22,5818.03,0.796,0.897,0.898,0.983,0.973,0.995,-0.67,K7.5,0.84,5.0,4100,,,,,0.022,0.006,0.026,0.008,,-23.4,11.9,0.5,,,,0,2M,PM J04267+2114
I04274+2022,,66.854332,20.378942,-0.085,-0.009,,,,21.61,11.69,T,8.77,8.19,7.98,UH22,5818.03,0.571,0.79,0.653,0.965,0.881,0.941,1.54,M1.5,0.97,5.0,3550,,,,,0.033,0.009,0.026,0.008,,8.5,-12.2,0.38,,,,0,2M,PM J04274+2022
I04276+3007,,66.919579,30.121769,-0.051,-0.018,,,,19.65,11.8,T,9.0,8.4,8.25,UH22,5954.77,,,,,,,,G/K,,,,,,,,0.023,0.006,0.022,0.006,,3.8,-10.1,,,,,0,2M,PM J04276+3007
I04279+3556,,66.975197,35.936764,0.03,-0.064,,,,19.83,10.98,T,8.0,7.39,7.21,MDM,5818.92,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04279+3556
I04284+1741,,67.119995,17.695923,0.108,-0.027,0.183,-0.33,19.9,18.7,12.59,P,8.59,7.96,7.71,UH22,5818.04,0.547,0.763,0.617,0.948,0.815,0.887,2.11,M2.0,0.95,5.0,3590,,,,,0.042,0.011,0.054,0.016,,-10.1,7.1,-1.95,Y,,Y,0,2M,PM J04284+1741
I04288+1045,,67.206108,10.756425,-0.017,-0.08,,,,,11.84,P,8.75,8.08,7.9,UH22,5817.11,0.718,0.866,0.818,0.976,0.956,0.98,-0.04,M0.0,0.98,4.5,3800,,,,,0.024,0.007,0.029,0.009,,-10.1,-11.0,0.51,,,,0,2M,PM J04288+1045
I04302+7049,,67.550415,70.820511,-0.11,0.023,,,,,12.66,P,8.75,8.18,7.94,MDM,5838.95,0.576,0.785,0.651,0.983,0.854,1.0,1.67,M1.5,0.97,4.5,3570,,,,,0.035,0.009,0.048,0.014,,10.9,-8.9,0.6,,,,0,2M,PM J04302+7049
I04311+5858,Gl  169.1 A,67.797646,58.977356,1.3,-2.049,,,,,10.82,T,6.62,6.01,5.72,UH22,5639.73,0.418,0.715,0.412,0.909,0.624,0.756,3.84,M4.0,1.06,4.5,3100,,,0.1793,0.0032,0.172,0.069,0.149,0.044,,-52.8,-11.4,0.38,,,,1,2M,PM J04311+5858
I04312+4217,,67.812462,42.286381,-0.002,-0.118,0.206,-0.25,21.01,18.59,11.89,P,8.35,7.74,7.52,MDM,4791.85,0.509,0.753,0.571,0.92,0.814,0.864,2.4,M2.5,0.97,5.0,3530,,,,,0.05,0.014,0.046,0.014,,-7.7,-7.7,-1.47,Y,,Y,0,2M,PM J04312+4217
I04313+4712,,67.837746,47.200298,0.052,-0.031,,,,20.4,11.65,T,8.61,7.92,7.73,MDM,5818.93,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04313+4712
I04326+0951,,68.157654,9.851811,0.085,-0.005,0.111,-0.3,,,12.04,P,8.39,7.74,7.54,UH22,5817.12,0.597,0.792,0.675,0.954,0.853,0.906,1.52,M1.5,0.97,5.0,3550,,,,,0.039,0.011,0.048,0.014,,-6.8,7.2,-0.45,,,,0,2M,PM J04326+0951
I04328+2852,,68.215561,28.867134,0.025,-0.064,,,,,11.94,T,8.85,8.24,8.07,UH22,5847.97,,,,,,,,G/K,,,,,,,,0.024,0.007,0.028,0.008,,-12.5,-4.4,,,,,0,2M,PM J04328+2852
I04329+0006S,,68.234322,0.104416,-0.162,-0.079,,,,,11.52,P,8.42,7.77,7.53,UH22,5818.06,0.606,0.804,0.703,0.967,0.903,0.95,1.14,M1.0,0.93,4.5,3500,,M,,,0.036,0.01,0.034,0.01,,5.6,-20.6,0.28,,,,1,2M,PM J04329+0006S
I04329+3645W,,68.226608,36.753826,-0.033,-0.07,,,,18.31,8.73,T,6.02,5.37,5.21,UH22,5954.86,,,,,,,,G/K,,,,,,,,0.09,0.024,0.08,0.024,,-1.8,-4.2,,,,,0,2M,PM J04329+3645W
I04331+4730,,68.297508,47.50235,0.031,-0.05,,,,19.05,11.12,T,8.37,7.81,7.65,MDM,5818.94,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04331+4730
I04333+2359,,68.349083,23.990826,0.094,-0.048,0.23,0.02,20.82,19.74,12.89,P,8.91,8.24,8.03,UH22,5818.04,0.491,0.732,0.543,0.929,0.765,0.862,2.81,M3.0,0.96,4.5,3460,,,,,0.044,0.017,0.046,0.014,,-9.9,4.0,-1.3,Y,Y,Y,0,2M,PM J04333+2359
I04333+3736,,68.349129,37.600632,0.014,-0.063,,,,20.13,11.39,T,8.53,7.92,7.77,MDM,5818.95,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04333+3736
I04339+0020W,,68.477783,0.347748,-0.153,-0.078,,,,,11.4,T,8.42,7.77,7.53,MDM,4794.87,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04339+0020W
I04348+2023,,68.70874,20.394562,0.099,-0.039,,,,,11.44,T,8.65,8.03,7.91,UH22,5817.14,0.816,0.903,0.898,0.977,0.955,0.979,-0.66,K7.5,0.95,4.5,4150,,,,,0.023,0.006,0.025,0.007,,-19.2,10.3,0.53,,,,0,2M,PM J04348+2023
I04350+0839,,68.760658,8.658471,0.076,0.002,0.109,-0.07,20.78,19.16,12.09,P,8.83,8.14,7.97,UH22,5817.12,0.659,0.824,0.757,0.962,0.897,0.933,0.78,M1.0,0.94,4.5,3600,,,,,0.027,0.007,0.031,0.009,,-7.9,9.9,-0.43,,,Y,0,2M,PM J04350+0839
I04366+2757,,69.152275,27.959089,-0.018,-0.049,,,,,11.1,T,8.17,7.57,7.4,UH22,5644.74,,,,,,,,G/K,,,,,,,,0.033,0.009,0.034,0.01,,-3.8,-6.3,,,,,0,2M,PM J04366+2757
I04369+5921,,69.243553,59.366631,0.147,-0.123,,,,,12.66,P,8.99,8.35,8.13,UH22,5639.73,0.524,0.764,0.596,0.954,0.831,0.906,2.17,M2.0,0.96,4.5,3450,,,0.0366,0.005,0.035,0.01,0.037,0.011,,-21.2,3.7,0.19,,,,1,2M,PM J04369+5921
I04371+1556,,69.294113,15.937387,0.093,-0.137,,,,17.64,8.35,T,5.12,4.59,4.25,MDM,3765.62,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J04371+1556
I04376+5253,Gl  172,69.420479,52.893681,0.305,-0.476,0.0794,-0.63,,,8.62,T,5.87,5.27,5.05,MDM,4791.86,,,,,,,,G/K,,,,P,,0.0989,0.001,,,,,,,,,,,,1,2M,PM J04376+5253
I04382+2813,GJ 3304,69.552467,28.216667,0.382,-0.088,0.31,-0.19,,,12.86,P,8.17,7.62,7.33,MDM,4108.81,0.381,0.64,0.394,0.943,0.669,0.746,4.33,M4.5,0.94,5.0,3140,P,,,,0.099,0.04,0.094,0.028,,-15.3,11.5,-4.17,Y,,,1,2M,PM J04382+2813
I04389+3536,,69.738914,35.612473,0.007,-0.045,,,,20.25,10.67,T,7.94,7.34,7.18,MDM,5818.96,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04389+3536
I04401+0132,,70.026085,1.539013,0.178,-0.182,,,,,11.88,T,8.53,7.94,7.76,UH22,5818.06,0.679,0.85,0.74,0.974,0.898,0.951,0.62,M0.5,1.16,4.5,3740,,,,,0.03,0.008,0.038,0.011,,-38.6,7.5,0.43,,,,1,2M,PM J04401+0132
I04407+0213,GJ 3307,70.17704,2.231126,0.173,0.05,,,,20.05,11.37,T,7.89,7.26,7.03,MDM,3765.62,0.562,0.782,0.645,0.933,0.839,0.93,1.8,M2.0,0.95,4.5,3480,P,,,,0.053,0.014,0.055,0.016,,-6.1,13.7,0.31,,,,1,2M,PM J04407+0213
I04414+1313,,70.373688,13.221195,0.099,-0.019,,,,19.79,11.26,T,8.36,7.67,7.51,UH22,5818.07,0.681,0.845,0.791,0.974,0.944,0.967,0.3,M0.5,0.92,4.5,3730,,,,,0.031,0.008,0.031,0.009,,-11.7,9.8,0.46,,,,0,2M,PM J04414+1313
I04414+4053,,70.368011,40.89323,0.006,-0.06,,,,,11.49,P,8.75,8.1,7.95,MDM,4794.88,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J04414+4053
I04422+5742,,70.566772,57.707611,-0.077,-0.532,,,,20.49,11.37,T,8.46,7.86,7.69,MDM,4791.87,0.717,0.863,0.791,0.953,0.926,0.989,0.2,M0.0,1.11,4.5,3700,,,0.0335,0.0032,0.029,0.008,0.03,0.009,,-39.6,-56.8,0.47,,,,1,2M,PM J04422+5742
I04423+2046,,70.59761,20.776186,0.271,0.019,,,,20.9,12.42,P,8.56,7.89,7.68,UH22,4884.74,0.555,0.8,0.608,0.95,0.827,0.911,1.86,M2.0,1.08,5.0,3660,,M,,,0.04,0.011,0.051,0.015,,-18.1,25.8,0.49,,,,1,2M,PM J04423+2046
I04429+0935,,70.730095,9.598458,-0.078,-0.021,,,,20.77,12.2,P,8.88,8.22,8.02,UH22,5818.07,0.626,0.821,0.724,0.961,0.903,0.955,0.95,M1.0,0.95,4.5,3560,,,,,0.028,0.007,0.032,0.009,,5.4,-12.0,0.37,,,,0,2M,PM J04429+0935
I04429+1857,Gl  176,70.732307,18.958326,0.66,-1.115,,,21.28,19.02,9.95,T,6.46,5.82,5.61,UH22,5817.14,0.523,0.768,0.579,0.949,0.828,0.898,2.21,M2.0,1.0,4.5,3550,P,M,0.1078,0.0029,0.114,0.031,0.107,0.032,,-56.5,-6.8,0.4,,,,1,2M,PM J04429+1857
I04429+2128,,70.732758,21.473045,0.039,0.123,,,,,12.52,P,7.96,7.4,7.1,UH22,5817.14,0.445,0.719,0.465,0.932,0.736,0.832,3.32,M3.5,1.01,5.0,3300,,,,,0.078,0.031,0.097,0.029,,3.6,5.0,0.27,,,,0,2M,PM J04429+2128
I04444+2751,GJ 3309,71.108543,27.862251,0.101,-0.412,,,,,11.53,P,7.91,7.3,7.11,MDM,4790.85,0.576,0.798,0.652,0.922,0.879,0.897,1.5,M1.5,1.0,4.5,3560,P,,,,0.049,0.013,0.059,0.017,,-37.2,-17.4,0.46,,,,1,2M,PM J04444+2751
I04445+2355,,71.133949,23.927971,-0.031,-0.048,,,,,12.02,P,8.98,8.38,8.16,UH22,5966.86,,,,,,,,G/K,,,,,,,,0.023,0.006,0.025,0.007,,-3.9,-10.8,,,,,0,2M,PM J04445+2355
I04465+0953,,71.637321,9.892007,0.034,-0.032,,,,19.58,10.76,T,7.58,6.86,6.68,UH22,5847.98,,,,,,,,G/K,,,,,,,,0.044,0.012,0.053,0.016,,-4.9,1.0,,,,,0,2M,PM J04465+0953
I04467+2602,,71.697975,26.035307,0.014,-0.058,,,,20.55,10.94,T,8.1,7.49,7.29,UH22,5867.08,,,,,,,,G/K,,,,,,,,0.035,0.009,0.034,0.01,,-7.4,-3.4,,,,,0,2M,PM J04467+2602
I04471+0209,GJ 3313,71.798965,2.161028,-0.196,-0.008,,,,20.34,11.48,T,8.31,7.67,7.45,MDM,3765.63,0.667,0.833,0.775,0.954,0.918,0.979,0.57,M0.5,0.91,4.5,3640,P,,,,0.033,0.009,0.038,0.011,,16.2,-21.9,0.48,,,,1,2M,PM J04471+0209
I04473+0627,,71.827042,6.453221,0.106,0.011,,,,,12.06,T,8.65,8.02,7.88,UH22,5818.08,0.744,0.872,0.848,0.978,0.96,0.984,-0.23,M0.0,0.92,4.5,3940,,,,,0.024,0.007,0.037,0.011,,-10.9,16.8,0.49,,,,0,2M,PM J04473+0627
I04474+0428,,71.864677,4.47647,0.132,-0.007,,,,,11.84,P,8.89,8.27,8.05,UH22,5818.07,0.729,0.866,0.829,0.981,0.946,0.98,-0.04,M0.0,0.96,4.5,3750,,,,,0.023,0.006,0.025,0.007,,-18.0,20.4,0.48,,,,0,2M,PM J04474+0428
