PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I17578+4635,GJ 4040,269.462341,46.588562,-0.018,0.576,0.0253,-0.58,,,11.79,T,7.85,7.25,7.0,MDM,4950.98,0.454,0.741,0.472,0.941,0.746,0.825,3.12,M3.0,1.05,5.0,3400,P,,0.071,0.0019,0.078,0.031,0.073,0.022,-37.1,,7.3,0.32,,,,1,2M,PM J17578+4635
I17589+8042,,269.736176,80.712204,-0.245,0.622,,,,,13.2,P,8.99,8.41,8.12,MDM,2743.94,0.447,0.711,0.464,0.941,0.721,0.885,3.4,M3.5,1.0,5.0,3400,,,,,0.05,0.02,0.05,0.015,-53.9,,12.6,0.34,,,,1,2M,PM J17589+8042
I17593+4902,,269.825317,49.036446,0.015,0.345,,,,20.6,11.57,T,8.7,8.08,7.9,MDM,5689.92,0.66,0.818,0.746,0.983,0.923,0.91,0.72,M0.5,0.96,4.5,3570,,,0.0227,0.0019,0.029,0.008,0.026,0.008,-70.5,,7.9,0.4,,,,1,2M,PM J17593+4902
I18010+5049,,270.273315,50.826927,0.199,0.115,,,,21.05,11.97,P,8.93,8.26,8.06,MDM,5689.92,0.597,0.785,0.681,0.962,0.908,0.869,1.3,M1.5,0.93,4.5,3550,,,,,0.029,0.008,0.026,0.008,-22.7,,-28.6,0.51,,,,1,2M,PM J18010+5049
I18011+0557,,270.276123,5.956499,-0.014,-0.045,,,,,11.01,T,8.21,7.48,7.34,UH22,6029.13,,,,,,,,G/K,,,,,,,,0.033,0.009,0.031,0.009,,-5.5,-1.1,,,,,0,2M,PM J18011+0557
I18022+6415,,270.569275,64.262314,0.207,-0.384,0.144,-0.19,20.69,19.67,13.54,P,8.54,7.96,7.65,MDM,2747.01,0.343,0.601,0.32,0.87,0.558,0.72,5.11,M5.0,0.97,4.5,3040,,M,,,0.111,0.044,0.092,0.027,19.0,,-9.8,-3.17,Y,,Y,1,2M,PM J18022+6415
I18031+1754,,270.77652,17.9063,-0.307,-0.176,,,22.4,20.81,11.72,P,8.66,8.02,7.81,UH22,5010.95,0.623,0.819,0.728,0.963,0.905,0.944,0.94,M1.0,0.93,4.5,3500,,,,,0.03,0.008,0.03,0.009,,-38.9,31.2,0.43,,,,1,2M,PM J18031+1754
I18037+2545,,270.948883,25.755669,-0.044,-0.226,,,,,11.06,T,8.02,7.37,7.2,MDM,4949.96,0.693,0.855,0.803,0.981,0.937,0.917,0.22,M0.0,0.93,4.5,3650,,,,,0.035,0.01,0.04,0.012,25.1,,-4.9,0.56,,,,1,2M,PM J18037+2545
I18042+3557,GJ 4041,271.073303,35.957195,0.082,-0.263,,,,,10.83,T,7.73,7.05,6.87,MDM,4949.97,0.611,0.818,0.686,0.957,0.89,0.932,1.15,M1.0,1.04,4.5,3560,P,,0.0473,0.0017,0.049,0.013,0.047,0.014,23.2,,-14.1,0.55,,,,1,2M,PM J18042+3557
I18063+7249,,271.575378,72.821228,0.013,0.239,0.0058,-0.81,,,11.64,P,8.49,7.86,7.67,MDM,4950.99,0.714,0.868,0.774,0.98,0.94,0.976,0.15,M0.0,1.2,4.5,3850,,M,,,0.028,0.008,0.034,0.01,-39.5,,-3.2,0.5,,,,1,2M,PM J18063+7249
I18074+1827,,271.867767,18.465395,-0.221,-0.081,,,,,11.66,P,8.65,8.0,7.82,UH22,5051.89,0.603,0.808,0.69,0.958,0.891,0.947,1.22,M1.0,0.98,4.5,3610,,,,,0.033,0.009,0.029,0.009,12.7,,26.5,0.48,,,,1,2M,PM J18074+1827
I18096+3152,,272.419678,31.870243,0.052,0.198,,,,20.36,11.61,T,8.23,7.66,7.43,MDM,4949.99,0.621,0.821,0.697,0.973,0.89,0.932,1.08,M1.0,1.04,4.5,3560,,,0.0466,0.0032,0.038,0.01,0.044,0.013,-18.0,,1.5,0.53,,,,1,2M,PM J18096+3152
I18103+5115,,272.597015,51.264587,0.064,0.161,,,22.17,21.69,12.54,P,9.0,8.45,8.24,UH22,6029.12,0.547,0.771,0.638,0.958,0.879,0.919,1.77,M2.0,0.92,4.5,3470,,,,,0.032,0.009,0.034,0.01,-24.6,,-4.5,0.22,,,,1,2M,PM J18103+5115
I18109+2201,,272.734192,22.025471,-0.034,-0.026,,,,,11.54,T,8.44,7.79,7.61,UH22,5642.12,0.711,0.86,0.81,0.977,0.955,0.96,0.04,M0.0,0.97,4.5,3700,,,,,0.028,0.008,0.034,0.01,3.9,,3.4,0.43,,,,0,2M,PM J18109+2201
I18114+1426,,272.863617,14.448382,-0.05,-0.161,,,,20.86,11.95,P,8.88,8.27,8.07,UH22,5051.9,0.656,0.835,0.763,0.976,0.932,0.969,0.55,M0.5,0.93,4.5,3600,,,,,0.025,0.007,0.027,0.008,,-22.6,-3.9,0.45,,,,1,2M,PM J18114+1426
I18121+7709,,273.042511,77.161751,-0.041,0.09,,,,20.66,11.73,T,8.98,8.3,8.18,MDM,5688.9,0.727,0.844,0.84,0.975,0.938,0.94,0.1,M0.0,0.82,4.5,3720,,,,,0.022,0.006,0.021,0.006,-17.4,,6.8,0.62,,,,0,2M,PM J18121+7709
I18126+0131,,273.151062,1.523334,-0.033,-0.023,,,,,11.4,T,8.02,7.33,7.09,UH22,5847.74,,,,,,,,G/K,,,,,,,,0.036,0.01,0.049,0.014,,-4.3,2.5,,,,,0,2M,PM J18126+0131
I18131+2601,GJ 4044,273.277374,26.031092,0.219,-0.03,0.3,,20.47,19.28,13.45,P,8.9,8.31,8.06,MDM,3972.77,0.397,0.643,0.406,0.93,0.636,0.892,4.3,M4.5,0.94,5.0,3270,P,M,,,0.07,0.028,0.063,0.018,0.1,,-15.3,-3.93,Y,Y,Y,1,2M,PM J18131+2601
I18134+0526,,273.367554,5.449549,-0.064,-0.228,,,,20.4,11.77,T,8.43,7.76,7.54,MDM,3888.93,0.599,0.802,0.681,0.975,0.875,0.97,1.35,M1.5,0.98,4.5,3560,,,,,0.037,0.01,0.04,0.012,,-24.1,-5.6,0.62,,,,1,2M,PM J18134+0526
I18157+1856,GJ 4046,273.931641,18.938824,-0.037,-0.429,,,,,10.84,T,7.76,7.17,6.96,UH22,5642.13,0.659,0.842,0.789,0.971,0.928,0.953,0.46,M0.5,0.86,4.5,3570,P,M,0.044,0.0024,0.042,0.011,0.046,0.013,34.6,,-14.4,0.39,,,,1,2M,PM J18157+1856
I18160+1354,Gl  708.2,274.009369,13.91346,0.101,-0.501,,,,,10.18,T,7.34,6.75,6.56,MDM,4952.99,0.716,0.864,0.824,0.98,0.945,0.95,0.02,M0.0,0.93,4.5,3710,P,,0.055,0.0017,0.047,0.013,0.048,0.014,,-22.3,-25.3,0.57,,,,1,2M,PM J18160+1354
