recno,ori,Name,CNS3,RAJ2000,DEJ2000,Fbol,e_Fbol,Teff,e_Teff,R,e_R,M,e_M,[Fe/H],e_[Fe/H],SpT,SpTnum,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Fbol0,e_Fbol0,Teff0,e_Teff0,R0,e_R0,M0,e_M0,Age0,e_Age0,chi2,SimbadName
85,0,PM I10522+0555,GJ 3631,163.05936,5.91939,0.04934,6.2E-4,3039,60,0.1646,0.0076,0.128,0.013,0.1,0.08,M5.4,5.5,16.548,0.023,14.803,0.017,13.368,0.013,11.495,0.02,15.761,0.023,14.148,0.011,12.37,0.013,11.387,0.013,9.816,0.017,9.268,0.017,8.978,0.02,13.438,0.014,15.258,0.014,11.789,0.014,0.04934,9.8E-4,3047,30,0.163,0.005,0.136,0.004,9.43,0.59,0.072,GJ 3631
82,0,PM I10430-0912,,160.76222,-9.21141,0.05641,7.4E-4,2951,60,0.198,0.01,0.152,0.015,-0.2,0.08,M5.5,5.5,17.023,0.025,15.071,0.018,13.524,0.013,11.561,0.02,16.006,0.024,14.412,0.012,12.466,0.013,11.354,0.014,9.657,0.017,9.076,0.017,8.731,0.02,13.525,0.014,15.553,0.014,11.823,0.014,0.0564,0.0011,3160,27,0.171,0.006,0.149,0.007,9.41,0.59,19.287,FBS L 10-72
20,0,PM I02171+3526,GJ 3147,34.29176,35.44235,0.04153,6.3E-4,2880,60,0.1502,0.0067,0.113,0.011,0.17,0.08,M5.8,6.0,17.7,0.04,15.85,0.04,14.205,0.013,12.103,0.02,16.527,0.025,15.205,0.04,13.063,0.013,11.811,0.014,9.974,0.017,9.352,0.017,9.007,0.02,14.085,0.014,16.181,0.014,12.344,0.014,0.04153,9.9E-4,2919,26,0.145,0.003,0.117,0.002,9.39,0.61,0.939,GJ 3147
86,0,PM I10564+0700,Gl 406,164.12042,7.01472,0.5798,0.0069,2818,60,0.1348,0.0058,0.0997,0.01,0.25,0.08,M5.9,6.0,15.518,0.021,13.52,0.017,11.612,0.012,9.366,0.02,14.582,0.022,12.774,0.011,10.376,0.013,8.977,0.013,7.074,0.017,6.462,0.017,6.147,0.02,11.395,0.014,13.993,0.014,9.581,0.014,0.58,0.012,2808,27,0.135,0.003,0.105,0.008,9.45,0.53,0.504,Gl 406
152,0,PM I19539+4424E,GJ 1245B,298.47977,44.41508,0.1986,0.0032,2859,60,0.143,0.0069,0.103,0.01,-0.05,0.08,M5.9,6.0,15.817,0.022,13.957,0.016,12.273,0.012,10.178,0.02,14.896,0.022,13.275,0.011,11.121,0.013,9.937,0.014,8.26,0.017,7.721,0.017,7.405,0.02,12.189,0.014,14.42,0.014,10.444,0.014,0.1986,0.0053,2919,34,0.136,0.004,0.11,0.004,9.49,0.6,1.985,GJ 1245B
1,0,PM I00115+5908,,2.88253,59.14441,0.0421,9.1E-4,2864,60,0.1361,0.0061,0.1,0.01,-0.27,0.08,M6.1,6.0,17.35,0.04,15.611,0.04,13.926,0.012,11.805,0.02,16.325,0.024,14.953,0.011,12.703,0.013,11.594,0.014,9.957,0.018,9.405,0.017,9.075,0.02,13.827,0.014,16.019,0.014,12.088,0.014,0.0421,0.0014,2921,32,0.13,0.003,0.107,0.009,9.46,0.59,1.935,PM J00115+5908
19,0,PM I02164+1335,GJ 3146,34.12439,13.58685,0.04532,5.4E-4,2829,60,0.1447,0.0091,0.103,0.01,-0.03,0.08,M6.1,6.0,17.741,0.025,15.758,0.018,14.002,0.013,11.837,0.02,16.734,0.024,15.072,0.011,12.811,0.013,11.559,0.013,9.858,0.017,9.316,0.017,8.988,0.02,13.868,0.014,16.243,0.014,12.097,0.014,0.04532,9.2E-4,2899,48,0.135,0.006,0.109,0.006,9.41,0.58,2.477,GJ 3146
89,0,PM I11055+4331,Gl 412B,166.37876,43.52164,0.1311,0.0015,2863,60,0.1262,0.0054,0.0952,0.0095,-0.32,0.08,M6.6,6.5,16.435,0.026,14.472,0.018,12.738,0.012,10.581,0.02,15.529,0.025,13.759,0.011,11.548,0.013,10.4,0.013,8.733,0.017,8.148,0.017,7.815,0.02,12.638,0.014,14.947,0.014,10.886,0.014,,,,,,,,,,,,Gl 412B
69,0,PM I08298+2646,GJ 1111,127.45563,26.77604,0.2016,0.0022,2800,60,0.1226,0.0056,0.0937,0.0094,-0.15,0.08,M6.7,6.5,16.227,0.022,14.834,0.019,12.974,0.013,10.611,0.02,15.557,0.025,14.253,0.012,11.674,0.013,10.166,0.013,8.22,0.017,7.617,0.017,7.237,0.02,12.643,0.014,15.233,0.014,10.81,0.014,,,,,,,,,,,,GJ 1111
28,0,PM I02530+1652,,43.25369,16.8813,0.1655,0.0029,2800,60,0.118,0.0052,0.0897,0.009,-0.31,0.08,M7.0,7.0,17.001,0.039,15.133,0.022,13.054,0.013,10.65,0.02,16.006,0.033,14.473,0.012,11.706,0.013,10.257,0.013,8.409,0.017,7.881,0.017,7.5,0.02,12.723,0.014,15.624,0.015,10.876,0.014,,,,,,,,,,,,PM J02530+1652
121,0,PM I16555-0823,Gl 644 C,253.89705,-8.39448,0.04725,0.001,2700,60,0.1131,0.0053,0.0841,0.0084,-0.07,0.08,M7.0,7.0,18.663,0.028,16.758,0.017,14.577,0.013,12.127,0.02,17.662,0.024,16.019,0.011,13.212,0.013,11.69,0.013,9.777,0.017,9.197,0.017,8.832,0.019,14.204,0.014,17.215,0.014,12.341,0.014,,,,,,,,,,,,Gl 644 C
74,0,PM I09437-1747,,145.94307,-17.78518,0.06781,7.9E-4,3302,65,0.1902,0.0082,0.153,0.015,-0.61,0.08,sdM2.9,,15.0,0.022,13.161,0.016,12.041,0.013,10.795,0.02,14.195,0.022,12.459,0.011,11.482,0.013,10.898,0.013,9.595,0.017,9.097,0.017,8.903,0.02,12.429,0.014,13.598,0.014,11.043,0.014,,,,,,,,,,,,LP 788-27
