_RAJ2000,_DEJ2000,KOI,KIC,Np,Te.H,R.H,r_R.H,Teff,e_Teff,R,e_R,logL,e_logL,Rp.l,Tp.l,Rp,Tp,H14,Simbad,_RA,_DE
283.4019417,41.5163361,2542.01,6183511,1,3339,0.29,PHO2,3417,113,0.344,0.041,-1.65,0.11,0.6,1365,0.72,1397,H14,Simbad,283.40194,41.51634
293.51109,45.1365931,2650.01,8890150,2,3735,0.4,PHO2,4040,102,0.599,0.028,-1.12,0.1,0.98,319,1.47,346,H14,Simbad,293.51109,45.13659
293.51109,45.1365931,2650.02,8890150,2,3735,0.4,PHO2,4040,102,0.599,0.028,-1.12,0.1,0.86,545,1.29,590,H14,Simbad,293.51109,45.13659
285.9288917,38.5209806,2662.01,3426367,1,3410,0.34,PHO2,3646,128,0.471,0.031,-1.3,0.11,0.69,816,0.94,872,H14,Simbad,285.92889,38.52098
298.736075,46.4985667,2704.01,9730163,2,3327,0.19,PHO54,3134,102,0.274,0.034,-2.17,0.1,2.02,414,2.92,390,H14,Simbad,298.73607,46.49857
298.736075,46.4985667,2704.02,9730163,2,3327,0.19,PHO54,3134,102,0.274,0.034,-2.17,0.1,1.36,529,1.97,499,H14,Simbad,298.73607,46.49857
290.95615,49.3663972,2705.01,11453592,1,3400,0.27,PHO54,3592,134,0.534,0.044,-1.52,0.18,1.39,876,2.79,925,H14,Simbad,290.95615,49.3664
294.5286,46.6409722,2715.01,9837661,3,4385,0.71,KIC0,4150,129,0.66,0.029,-0.9,0.22,6.83,588,6.38,557,H14,Simbad,294.5286,46.64097
294.5286,46.6409722,2715.02,9837661,3,4385,0.71,KIC0,4150,129,0.66,0.029,-0.9,0.22,3.69,1035,3.45,980,H14,Simbad,294.5286,46.64097
294.5286,46.6409722,2715.03,9837661,3,4385,0.71,KIC0,4150,129,0.66,0.029,-0.9,0.22,3.16,879,2.95,832,H14,Simbad,294.5286,46.64097
291.2314792,47.0339333,2764.01,10073672,1,3952,0.55,PHO2,4124,117,0.608,0.029,-1.02,0.15,1.59,1204,1.76,1257,H14,Simbad,291.23148,47.03393
285.0649083,41.5548722,2839.01,6186964,1,3900,0.54,PHO2,3935,136,0.555,0.031,-1.13,0.14,1.29,740,1.33,747,H14,Simbad,285.06491,41.55487
288.4165281,47.8787311,2845.01,10591855,1,3954,0.55,PHO2,4066,146,0.618,0.031,-0.78,0.22,0.84,940,0.95,966,H14,Simbad,288.41653,47.87873
283.3360583,47.1745417,2926.01,10122538,4,3903,0.52,PHO2,4208,157,0.603,0.034,-0.95,0.16,2.28,515,2.63,555,H14,Simbad,283.33606,47.17454
283.3360583,47.1745417,2926.02,10122538,4,3903,0.52,PHO2,4208,157,0.603,0.034,-0.95,0.16,2.0,610,2.3,658,H14,Simbad,283.33606,47.17454
283.3360583,47.1745417,2926.03,10122538,4,3903,0.52,PHO2,4208,157,0.603,0.034,-0.95,0.16,2.45,364,2.82,392,H14,Simbad,283.33606,47.17454
283.3360583,47.1745417,2926.04,10122538,4,3903,0.52,PHO2,4208,157,0.603,0.034,-0.95,0.16,2.36,310,2.72,335,H14,Simbad,283.33606,47.17454
296.7372375,44.5014806,2992.01,8509442,1,3952,0.55,PHO2,4088,141,0.578,0.034,-0.9,0.19,2.04,184,2.14,190,H14,Simbad,296.73724,44.50148
292.7376417,42.0148333,3090.01,6609270,2,3854,0.53,PHO2,3850,128,0.56,0.03,-1.29,0.16,1.17,748,1.24,747,H14,Simbad,292.73764,42.01483
292.7376417,42.0148333,3090.02,6609270,2,3854,0.53,PHO2,3850,128,0.56,0.03,-1.29,0.16,2.14,694,2.26,693,H14,Simbad,292.73764,42.01483
294.083055,50.5027769,3282.01,12066569,1,3894,0.54,PHO2,3944,127,0.571,0.031,-1.23,0.13,2.24,305,2.36,309,H14,Simbad,294.08305,50.50278
284.4962708,41.3258972,3414.01,6023859,1,3900,0.54,PHO2,3834,159,0.563,0.039,-1.32,0.16,18.48,239,19.37,235,H14,Simbad,284.49627,41.3259
285.0077167,49.5039861,3749.01,11547869,1,3311,0.22,PHO2,3362,112,0.348,0.039,-1.81,0.1,8.17,314,12.62,319,H14,Simbad,285.00772,49.50399
287.3640461,47.7852061,4252.01,10525049,1,3842,0.53,PHO2,3809,117,0.586,0.033,-1.36,0.22,0.67,344,0.74,341,H14,Simbad,287.36405,47.78521
295.1172292,39.2740889,4427.01,4172805,1,3668,0.43,PHO2,4037,155,0.573,0.05,-1.2,0.14,1.46,176,1.94,194,H14,Simbad,295.11723,39.27409
