PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I06488+3708,13.38,9.81,8.85,277.45,6.22,,-0.26,-7.48,No,Yes,,No,D,1,1,0,0,2M,Simbad,102.205719,37.146233
I06518+2712,11.94,9.14,10.67,92.15,15.61,8.1E-13,0.86,-5.61,No,No,No,No,N,0,1,1,0,2M,Simbad,102.951332,27.201799
I06519+0312,13.06,9.14,11.64,37.82,,1.0E-12,0.45,-5.93,,No,,,N,1,0,1,0,2M,Simbad,102.995888,3.215361
I06522+6246,13.5,9.42,12.61,12.21,,1.5E-13,1.99,-6.36,No,No,,,N,1,1,1,0,2M,Simbad,103.069153,62.782909
I06551+8427,13.49,9.72,11.86,17.7,8.65,5.9E-13,,-6.01,,,,,N,0,1,1,0,2M,Simbad,103.787048,84.452187
I06574+7405,13.13,8.93,11.32,61.66,15.81,1.3E-12,4.55,-5.78,,No,No,,N,0,1,1,1,2M,Simbad,104.358932,74.090691
I06576+4951,12.3,9.26,11.22,49.46,6.37,7.9E-13,1.18,-5.84,,No,No,No,N,0,1,1,0,2M,Simbad,104.412109,49.864994
I07082+1846,13.07,9.61,10.12,100.33,15.28,1.4E-12,2.62,-5.32,,No,No,,N,0,0,1,0,2M,Simbad,107.056023,18.777365
I07102+4700,13.34,9.71,12.32,11.9,,,0.17,-6.29,,No,,No,N,1,1,0,0,2M,Simbad,107.555916,47.016102
I07106+1713,12.45,9.72,10.8,47.69,6.81,4.3E-13,0.73,-5.68,,No,No,,N,0,1,1,0,2M,Simbad,107.652153,17.22307
I07120+5423,13.33,9.78,12.03,14.53,,,0.71,-6.14,,No,No,No,N,0,1,0,0,2M,Simbad,108.020073,54.396503
I07129+3547,12.49,8.83,12.51,21.53,,1.8E-13,0.23,-6.35,,No,,No,N,0,1,1,1,2M,Simbad,108.248055,35.784225
I07136+3846,12.94,9.71,10.6,59.53,21.53,6.0E-13,,-5.54,,,,No,N,0,1,1,0,2M,Simbad,108.424461,38.779163
I07162+3315,11.62,8.63,10.55,169.04,,,-0.43,-5.54,No,No,,No,N,1,0,0,1,2M,Simbad,109.050331,33.254303
I07187-2616,11.44,8.15,11.04,171.79,,1.7E-12,1.68,-5.76,,No,No,,N,0,0,1,0,2M,Simbad,109.684113,-26.271496
I07249+3054,12.93,9.07,12.06,27.87,5.98,5.0E-13,0.65,-6.14,No,No,,No,N,0,1,1,0,2M,Simbad,111.23658,30.910234
I07266+1850,13.83,9.98,10.87,36.49,11.93,2.5E-13,2.34,-5.63,,No,No,,N,0,1,1,0,2M,Simbad,111.67308,18.842928
I07283+3345,13.29,9.28,10.95,67.42,13.9,6.6E-13,,-7.48,No,,No,Yes,D,0,1,1,0,2M,Simbad,112.088203,33.753513
I07295+3556,11.88,8.64,10.77,135.78,24.71,1.5E-12,2.81,-5.62,,No,,No,N,0,0,1,1,2M,Simbad,112.379517,35.933392
I07316+4557,13.85,9.78,10.97,40.17,8.69,5.4E-13,5.7,-7.48,,No,No,No,L,0,1,1,0,2M,Simbad,112.910362,45.954796
I07319+3613S,10.52,6.77,11.86,278.22,50.55,,0.94,-7.48,,No,Yes,No,D,1,1,0,1,2M,Simbad,112.99054,36.219425
I07326-0813,13.07,9.2,12.61,15.08,,,,-6.41,,,,,N,0,0,0,0,2M,Simbad,113.15667,-8.221563
I07344+3626,13.03,9.75,11.54,25.12,,2.8E-13,,-6.02,,,,,N,0,1,1,0,2M,Simbad,113.611755,36.449696
I07355-1911,13.76,9.76,11.25,30.99,,,,-5.78,,,,,N,0,0,0,0,2M,Simbad,113.890343,-19.198063
I07366+4404,13.8,9.96,12.88,6.25,,,-0.24,-6.61,,No,,No,N,1,0,0,0,2M,Simbad,114.163673,44.080254
I07391-4311,13.36,9.73,7.71,789.73,,7.1E-13,5.08,-7.48,,Yes,,,D,0,0,1,0,2M,Simbad,114.784119,-43.192017
I07429-1043,13.35,9.52,11.39,33.99,,,,-5.84,,,,,N,0,0,0,0,2M,Simbad,115.731888,-10.72922
I07472+2957,13.17,9.53,11.38,34.0,,4.3E-13,2.84,-5.85,,No,No,No,N,0,0,1,0,2M,Simbad,116.820534,29.96022
I07475+4808,13.84,9.81,13.08,5.69,,,,-6.63,,,,No,N,1,0,0,0,2M,Simbad,116.885078,48.145485
I07492-7642,11.49,7.41,11.56,200.96,39.68,4.2E-12,2.37,-5.89,,No,,,N,0,1,1,0,2M,Simbad,117.302956,-76.701828
I07497-0320,13.04,8.89,10.7,117.25,34.02,,0.1,-5.56,,No,,,N,0,1,0,0,2M,Simbad,117.425613,-3.342742
I07508+4428N,12.53,9.18,11.77,34.17,6.43,3.7E-13,-0.42,-6.1,,No,,No,N,1,1,1,0,2M,Simbad,117.723534,44.471809
I07508+4428S,12.53,9.18,11.77,34.17,6.43,3.7E-13,,-6.1,,,,,N,1,1,1,0,2M,Simbad,117.723755,44.471638
I07527+2022,12.4,9.64,9.62,150.39,,,-0.42,-7.48,,Yes,,No,D,1,1,0,0,2M,Simbad,118.18856,20.370754
I07539+7009,13.67,9.86,12.77,7.29,,,,-6.53,,,,,N,0,1,0,0,2M,Simbad,118.487457,70.151871
I07545-0941,13.62,9.7,12.51,11.1,,,,-6.4,,,,,N,0,1,0,0,2M,Simbad,118.636337,-9.696624
I08010+0334,14.04,9.85,12.72,7.5,,,-0.21,-6.41,,No,,,N,1,0,0,0,2M,Simbad,120.274254,3.568448
I08017+4959,13.01,9.69,11.51,26.67,4.28,5.4E-13,0.99,-7.48,,No,Yes,No,D,0,1,1,0,2M,Simbad,120.429886,49.99596
I08031+2022,13.34,9.24,10.55,98.2,21.57,2.4E-12,5.97,-7.48,,No,,No,L,0,1,1,0,2M,Simbad,120.792366,20.37093
I08040-1219,14.04,9.93,12.18,11.24,,,-0.14,-6.17,,No,,,N,0,1,0,0,2M,Simbad,121.022919,-12.328214
I08084+2417,13.11,9.81,11.66,20.22,6.74,,1.5,-6.02,,No,No,No,N,0,1,0,0,2M,Simbad,122.122017,24.297384
I08085+5304,13.94,9.81,12.57,9.4,6.68,,0.76,-7.48,,No,Yes,No,D,0,1,0,0,2M,Simbad,122.136787,53.077122
I08105-1348,11.81,8.28,11.46,101.58,,,-0.27,-5.91,,No,,,N,0,0,0,0,2M,Simbad,122.642769,-13.81427
I08118-0855,13.38,9.46,12.74,10.52,,2.6E-13,,-6.46,,,,,N,0,1,1,0,2M,Simbad,122.969276,-8.920269
I08158+4601,13.53,9.78,11.53,23.53,9.66,2.6E-13,1.72,-5.9,,No,No,No,N,0,1,1,0,2M,Simbad,123.954178,46.022079
I08317+0545,11.93,8.91,9.94,225.54,40.15,1.5E-12,1.32,-5.26,,No,No,,N,0,0,1,1,2M,Simbad,127.94976,5.755172
I08375-2728,12.66,9.59,10.61,68.17,,,,-5.59,,,,,N,0,0,0,0,2M,Simbad,129.396378,-27.477144
I08414+6425,12.36,9.2,11.56,39.02,9.96,4.7E-13,,-6.01,,,,,N,0,1,1,0,2M,Simbad,130.374588,64.417519
I08415-6825,11.16,8.23,11.44,107.58,17.44,4.8E-13,,-6.01,,,,,N,0,1,1,0,2M,Simbad,130.386017,-68.427872
I08417+2318,13.69,9.6,11.31,35.38,,,3.32,-5.83,,No,,No,N,1,1,0,0,2M,Simbad,130.42868,23.312967
I08437+1834,12.25,9.38,11.35,40.28,,,-0.04,-5.98,,No,,,N,0,1,0,0,2M,Simbad,130.933365,18.568663
I08446-4805,13.33,9.37,12.49,13.82,,,,-6.29,,,,,N,0,0,0,0,2M,Simbad,131.162018,-48.089142
I08479-8108,13.51,9.46,12.67,11.29,,,,-6.41,,,,,N,0,0,0,0,2M,Simbad,131.979492,-81.144257
I08523-1913,12.71,9.38,11.05,54.02,,1.2E-12,,-5.75,,,,,N,0,1,1,0,2M,Simbad,133.075546,-19.221373
I08527+2230,13.46,9.99,10.09,72.23,17.82,,,-5.29,,,,No,N,0,1,0,0,2M,Simbad,133.186844,22.515577
I08540+0809,13.87,9.96,12.65,7.08,,,0.06,-6.4,,No,,,N,0,1,0,0,2M,Simbad,133.502304,8.154694
I09016-7240,12.97,8.82,13.5,9.19,,,,-6.77,,,,,N,0,0,0,0,2M,Simbad,135.412415,-72.671379
I09024+5848,13.3,9.85,10.7,50.18,12.92,1.2E-13,1.99,-5.61,,No,,,N,0,0,1,0,2M,Simbad,135.616379,58.803974
I09025+0550,13.53,9.96,12.26,11.09,,,,-6.35,,,,,N,0,1,0,0,2M,Simbad,135.644562,5.849977
I09034-0023,13.53,9.72,11.63,24.05,4.1,2.9E-13,1.67,-5.99,,No,No,,N,0,1,1,0,2M,Simbad,135.865067,-0.391639
I09040-1555,12.8,9.16,11.97,28.68,,8.9E-13,,-6.15,,,,,N,0,1,1,0,2M,Simbad,136.023117,-15.921788
I09063+1659,13.03,9.65,11.2,36.52,8.49,3.1E-13,2.72,-5.8,,No,,,N,0,1,1,0,2M,Simbad,136.587967,16.989885
I09069+4532,13.27,9.87,10.8,41.85,11.06,8.1E-13,3.6,-5.6,,No,,No,N,0,0,1,0,2M,Simbad,136.729782,45.541599
I09092-1236,13.07,9.34,11.19,47.22,11.16,4.9E-13,3.77,-5.75,,No,,,N,0,1,1,0,2M,Simbad,137.315125,-12.605112
I09097+7747,13.8,9.84,9.56,134.23,,,-0.32,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,137.430252,77.797066
I09108+3127,13.77,9.72,11.31,30.8,,,2.24,-5.8,,No,No,No,N,0,2,0,0,2M,Simbad,137.701248,31.45743
I09126+2647,12.85,9.58,11.41,31.17,,3.4E-13,,-5.89,,,,No,N,0,1,1,0,2M,Simbad,138.16716,26.792418
I09167-2447,11.82,8.7,11.05,102.33,16.41,4.3E-13,0.44,-5.78,,No,,No,N,0,1,1,0,2M,Simbad,139.183212,-24.795219
I09193+3831S,14.04,9.92,11.34,25.04,10.39,1.8E-13,3.9,-5.83,No,No,No,No,N,1,1,1,0,2M,Simbad,139.828918,38.521114
I09193+6203,11.23,8.17,10.85,196.74,33.98,1.5E-12,2.01,-7.48,,No,,,L,1,1,1,1,2M,Simbad,139.845367,62.054741
I09248+3041,13.52,9.49,10.92,53.11,22.57,,5.16,-5.62,,No,,No,N,1,1,0,0,2M,Simbad,141.211655,30.693613
I09302+2630,13.02,8.87,11.83,41.77,10.42,5.7E-13,2.17,-6.02,,No,,No,N,1,1,1,1,2M,Simbad,142.560104,26.506861
I09313+7518,12.65,9.19,12.22,20.2,,3.7E-13,,-6.23,,,,,N,1,1,1,0,2M,Simbad,142.838943,75.314827
I09313+3902,13.35,9.77,12.39,10.83,,,0.83,-6.35,,No,,No,N,0,1,0,0,2M,Simbad,142.843735,39.044941
I09324+7650,13.88,9.79,11.4,28.0,11.48,1.3E-13,1.86,-5.89,,No,,,N,1,1,1,0,2M,Simbad,143.106644,76.845177
I09327+8208,12.75,9.27,12.12,21.64,5.16,2.8E-13,,-6.22,,,,,N,0,1,1,0,2M,Simbad,143.185806,82.139236
I09428+7002,11.19,7.33,12.46,97.45,19.49,,0.89,-6.34,,No,,,N,1,0,0,1,2M,Simbad,145.71582,70.039452
I09468+7328,12.4,9.91,7.51,780.1,1026.34,,-0.59,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,146.704987,73.470421
I09488+1538,13.24,9.3,11.9,25.81,11.3,6.8E-13,1.65,-6.05,,No,,,N,1,1,1,0,2M,Simbad,147.209183,15.645817
I09494+6508,13.7,9.98,11.05,30.13,18.79,,1.91,-5.69,No,No,No,,N,1,1,0,0,2M,Simbad,147.355957,65.139877
I09508-0907,13.26,9.26,10.6,92.83,21.58,7.4E-13,4.45,-5.54,,No,No,,N,0,1,1,0,2M,Simbad,147.701355,-9.119445
I09537+2239,13.55,9.81,12.38,10.5,,,,-6.3,,,,,N,0,1,0,0,2M,Simbad,148.443161,22.651749
I09557+3521,12.81,8.85,12.19,29.21,8.55,,1.63,-6.16,,No,,No,N,1,1,0,1,2M,Simbad,148.931641,35.361584
I09570+0251,12.96,9.58,11.44,32.36,20.99,,-0.23,-5.95,,No,,,N,0,1,0,0,2M,Simbad,149.260849,2.858173
I09593+4350W,13.89,9.68,11.04,39.77,5.55,1.5E-12,6.41,-7.48,,No,,,L,1,1,1,0,2M,Simbad,149.828308,43.840385
I10019+6651,12.29,9.07,10.69,99.17,23.04,8.1E-13,2.53,-5.59,,No,,,N,0,1,1,0,2M,Simbad,150.499771,66.857712
I10043+5023,11.9,8.08,11.19,159.72,43.32,4.8E-12,4.75,-5.79,,No,,,N,1,1,1,1,2M,Simbad,151.089462,50.387089
I10107-3046,13.48,9.48,13.23,6.81,,,,-6.72,,,,No,N,0,0,0,0,2M,Simbad,152.694977,-30.780373
I10143+2104,10.01,7.07,11.08,419.75,78.69,3.2E-12,1.08,-5.78,No,No,,No,N,1,1,1,1,2M,Simbad,153.579926,21.074898
I10164-0051,13.19,9.96,10.74,42.84,10.35,5.4E-13,1.82,-5.62,,No,No,,N,0,1,1,0,2M,Simbad,154.112228,-0.860921
I10184-3150,11.45,8.87,10.19,185.65,21.68,2.0E-12,1.54,-5.4,No,No,No,,N,0,1,1,0,2M,Simbad,154.619583,-31.834114
I10188+1118,13.29,9.62,12.66,9.35,,,-0.35,-6.45,,No,,,N,0,0,0,0,2M,Simbad,154.714432,11.308793
I10196+1952,9.64,5.45,11.22,1716.02,,2.5E-11,2.64,-7.48,,No,,,L,1,0,1,1,2M,Simbad,154.901169,19.870018
I10212-3705,13.49,9.39,13.32,7.0,,,,-6.76,,,,,N,0,0,0,0,2M,Simbad,155.300293,-37.095478
I10240+3639,13.54,9.43,12.61,11.95,6.97,,8.6,-6.35,,No,,No,N,0,1,0,0,2M,Simbad,156.021133,36.659
I10242+3902W,12.65,9.68,11.25,34.13,13.59,7.0E-13,,-5.9,,,,No,N,1,0,1,0,2M,Simbad,156.054886,39.041813
I10253+3217,13.09,9.76,11.25,30.15,4.81,,-2.38,-7.48,,Yes,,No,D,0,1,0,0,2M,Simbad,156.346832,32.299644
I10280+3029,13.03,9.42,12.39,15.14,,,,-6.35,,,,No,N,0,1,0,0,2M,Simbad,157.006042,30.483437
I10332+3409W,12.79,9.08,11.47,45.9,7.09,4.6E-13,1.65,-5.85,,No,,No,N,1,0,1,0,2M,Simbad,158.30687,34.153328
I10336-2900,12.98,9.16,12.56,17.32,,,,-6.44,,,,No,N,0,1,0,0,2M,Simbad,158.412827,-29.008751
I10351+3349,12.79,9.83,11.4,24.95,,2.5E-13,,-5.96,,,,No,N,0,1,1,0,2M,Simbad,158.785797,33.830555
I10357+0215,13.57,9.83,10.98,37.98,9.57,6.2E-13,2.94,-5.69,,No,No,,N,0,1,1,0,2M,Simbad,158.945511,2.266167
I10359+2853,13.16,9.24,12.14,22.58,9.72,4.2E-13,1.47,-6.19,,No,,No,N,0,1,1,0,2M,Simbad,158.988495,28.892101
I10376-2931,13.25,9.64,12.4,11.8,,,,-6.33,,,,No,N,0,0,0,0,2M,Simbad,159.423264,-29.517662
I10384+4831,13.44,9.49,11.34,38.92,7.57,3.6E-13,4.04,-5.86,,No,,,N,1,1,1,0,2M,Simbad,159.624146,48.529076
I10397-3755,11.06,7.21,11.59,235.1,51.51,3.1E-12,3.37,-5.92,,No,,No,N,0,1,1,0,2M,Simbad,159.934753,-37.92041
I10397-4430,11.77,8.0,12.45,52.78,73.98,,-0.13,-6.35,,No,,No,N,0,1,0,0,2M,Simbad,159.939163,-44.510258
I10431+2218,12.93,9.86,11.68,19.01,,,,-6.11,,,,No,N,0,0,0,0,2M,Simbad,160.782669,22.302032
I10548+1204,13.13,9.67,10.6,60.7,,7.4E-13,,-5.51,,,,,N,0,1,1,0,2M,Simbad,163.718826,12.077868
I10552-0335S,13.16,9.56,11.67,26.19,,,0.79,-7.48,,No,Yes,,D,0,1,0,0,2M,Simbad,163.816513,-3.593917
I10554-0249,13.78,9.68,13.05,6.31,7.36,,-0.22,-6.57,,No,,,N,0,1,0,0,2M,Simbad,163.860901,-2.828577
I10564-1816,13.78,9.9,12.72,7.35,,,,-6.48,,,,,N,0,1,0,0,2M,Simbad,164.108627,-18.269361
I10568-2317,13.43,9.51,11.83,24.43,,4.1E-13,,-6.07,,,,No,N,0,0,1,0,2M,Simbad,164.200638,-23.291407
I10571+0544,12.79,9.83,10.49,57.15,19.72,7.6E-13,2.23,-5.49,,No,,,N,0,1,1,0,2M,Simbad,164.29747,5.748539
I10572+4142,13.4,9.6,12.84,8.32,,,,-6.53,,,,No,N,1,0,0,0,2M,Simbad,164.311539,41.715252
I10581+5057,13.59,9.7,11.35,29.82,,3.4E-13,5.63,-5.82,,No,,,N,0,1,1,0,2M,Simbad,164.531311,50.950806
I11018-3442,11.1,8.22,7.06,6569.91,2549.28,6.5E-12,54.06,-7.48,,No,Yes,No,D,0,1,1,0,2M,Simbad,165.466278,-34.704762
I11037+3631,13.1,9.44,12.48,13.25,,,0.2,-6.36,,No,,No,N,0,1,0,0,2M,Simbad,165.92688,36.529827
I11070-7635,12.26,9.49,9.8,140.3,,,,-7.48,,,,,"N,R",0,1,0,0,2M,Simbad,166.765976,-76.595596
I11075+4345,13.86,9.94,12.92,5.59,,,1.39,-6.54,,No,,,N,0,1,0,0,2M,Simbad,166.883606,43.765659
I11092-3001,11.12,7.63,11.22,244.75,34.59,2.4E-12,1.63,-7.48,,No,No,Yes,D,0,1,1,0,2M,Simbad,167.307541,-30.027731
I11118+3332S,12.39,8.3,11.05,138.25,27.18,2.6E-12,3.44,-5.66,,No,,No,N,1,0,1,1,2M,Simbad,167.965485,33.536469
I11159+5519,11.47,8.09,10.6,261.72,27.74,2.3E-12,2.31,-5.52,,No,,,N,1,1,1,1,2M,Simbad,168.975174,55.330746
I11183+1347,13.08,9.09,11.85,32.79,7.32,6.3E-13,3.66,-6.02,,No,,,N,0,1,1,0,2M,Simbad,169.584595,13.794226
I11193-1900,13.48,9.93,11.78,15.58,6.27,2.9E-13,1.12,-6.01,,No,,,N,0,1,1,0,2M,Simbad,169.845016,-19.008236
I11201-1029,11.43,7.81,11.66,129.14,12.2,2.3E-12,0.89,-5.98,,No,No,,N,0,1,1,0,2M,Simbad,170.025436,-10.496345
I11201+0951,12.9,9.3,11.35,44.89,9.74,7.6E-13,2.02,-5.87,,No,No,,N,0,1,1,0,2M,Simbad,170.046768,9.850614
I11203-7828,10.79,8.38,10.25,260.31,37.47,1.9E-12,0.6,-5.42,,No,,,N,0,1,1,0,2M,Simbad,170.082779,-78.472534
I11208+5410,11.91,9.35,10.48,87.12,11.06,4.3E-13,1.02,-5.52,,No,,,N,0,1,1,0,2M,Simbad,170.210251,54.169113
I11220-2446,9.28,6.4,10.91,918.22,114.77,5.7E-12,-0.1,-7.48,No,No,,No,L,0,1,1,0,2M,Simbad,170.522034,-24.777655
I11233+4448,13.2,9.15,13.13,10.07,,,,-6.65,,,,,N,1,1,0,0,2M,Simbad,170.835892,44.810795
I11246+2330W,13.52,9.69,12.84,7.61,,,,-6.53,,,,No,N,1,1,0,0,2M,Simbad,171.165283,23.516644
I11298-2146,13.32,9.96,11.25,27.19,11.67,4.9E-13,,-5.85,,,,No,N,0,1,1,0,2M,Simbad,172.464188,-21.769955
I11298+3606,13.52,9.83,11.49,23.23,,3.8E-13,1.93,-5.89,,No,No,No,N,0,1,1,0,2M,Simbad,172.468048,36.111515
I11301-3042,13.34,9.31,12.98,10.21,,,,-6.6,,,,No,N,0,1,0,0,2M,Simbad,172.528839,-30.712265
I11314+1344,12.84,9.32,11.38,41.23,9.33,3.0E-13,2.4,-5.86,,No,,,N,0,1,1,0,2M,Simbad,172.853683,13.745464
I11317-4102,11.55,7.37,11.07,338.08,,4.2E-12,5.01,-5.7,,No,,No,N,0,0,1,0,2M,Simbad,172.943939,-41.046459
I11319-3436,11.39,7.67,11.08,270.28,63.38,4.4E-12,3.72,-7.48,,No,No,No,L,0,1,1,0,2M,Simbad,172.980286,-34.607601
I11323-4627,12.48,8.55,13.05,18.17,,,0.04,-6.62,,No,,No,N,0,1,0,0,2M,Simbad,173.09288,-46.46574
I11332+1344,12.25,9.59,10.35,81.09,14.9,6.4E-13,1.17,-7.48,,No,No,,L,0,1,1,0,2M,Simbad,173.317749,13.739805
I11336+1413,12.25,9.45,10.86,59.22,,,-0.51,-5.72,,No,,,N,0,1,0,0,2M,Simbad,173.404816,14.229685
I11341+5553,13.79,9.75,11.61,22.16,3.19,,1.51,-5.92,No,No,,,N,1,1,0,0,2M,Simbad,173.53627,55.888355
I11362-0526,12.08,9.3,10.49,96.78,,,-0.43,-5.54,,No,,,N,0,1,0,0,2M,Simbad,174.071106,-5.447142
I11372-0129,12.13,9.2,11.14,57.43,,,,-5.83,,,,,N,0,0,0,0,2M,Simbad,174.307938,-1.487782
I11374+4727,10.09,7.41,10.95,338.35,48.41,4.7E-12,0.52,-7.48,No,No,,,L,0,1,1,1,2M,Simbad,174.352402,47.462452
I11379+2951,13.73,9.51,13.15,7.08,,,,-6.63,,,,No,N,0,1,0,0,2M,Simbad,174.494247,29.85553
I11386+2343N,13.04,9.62,12.26,13.76,,,,-6.31,,,,No,N,1,1,0,0,2M,Simbad,174.668976,23.729967
I11404+7704,12.33,8.38,13.11,21.06,,,-0.66,-6.68,,No,,,N,1,0,0,1,2M,Simbad,175.123535,77.071869
I11417+3806,12.67,9.57,11.51,27.9,,,,-5.96,,,,No,N,0,1,0,0,2M,Simbad,175.443344,38.115845
I11428+0029,13.26,9.7,12.5,10.66,,,,-6.44,,,,,N,0,1,0,0,2M,Simbad,175.702805,0.490633
I11461+4001W,12.74,9.03,10.75,101.26,20.45,1.4E-12,1.91,-5.62,,No,No,No,N,0,1,1,0,2M,Simbad,176.532547,40.029671
I11468+0608,13.01,9.38,11.5,36.96,8.65,6.7E-13,1.28,-7.48,,No,Yes,,D,0,1,1,0,2M,Simbad,176.718704,6.149502
I11474+2339,13.53,9.88,12.59,8.14,,,-0.32,-6.44,,No,,No,N,1,0,0,0,2M,Simbad,176.873123,23.6513
I11485+0741,13.64,9.48,11.47,34.03,9.05,5.8E-13,7.21,-5.89,,No,,,N,1,1,1,0,2M,Simbad,177.147858,7.694584
I11505+2903S,13.71,9.73,10.06,99.75,,,-0.11,-7.48,Yes,Yes,,No,D,2,1,0,0,2M,Simbad,177.64299,29.061317
I11519+0731,12.42,8.81,10.59,147.65,34.07,1.9E-12,2.85,-5.58,,No,,,N,0,1,1,1,2M,Simbad,177.986725,7.52396
I11523+1640,13.54,9.73,12.2,12.93,,,-0.03,-6.18,,No,,,N,0,1,0,0,2M,Simbad,178.085541,16.671984
I11529+3554,13.93,9.96,10.78,39.68,10.41,3.2E-13,3.21,-5.57,,No,No,No,N,0,1,1,0,2M,Simbad,178.238144,35.912754
I11585+5933W,11.86,8.3,12.48,37.42,,,-0.49,-6.38,,No,,,N,1,1,0,1,2M,Simbad,179.645737,59.556202
I11591-7616,13.07,9.59,12.05,18.05,,,,-6.22,,,,,N,0,1,0,0,2M,Simbad,179.794266,-76.266891
I12002+7932,12.84,9.79,10.99,39.48,9.75,6.5E-13,,-5.75,,,,,N,0,1,1,0,2M,Simbad,180.05098,79.538857
I12023+2835,13.14,9.13,12.29,19.29,6.18,3.9E-13,0.84,-7.48,,No,Yes,No,D,1,1,1,0,2M,Simbad,180.575333,28.587269
I12040+6856,13.85,9.97,11.29,24.57,,1.7E-13,,-5.79,,,,,N,0,1,1,0,2M,Simbad,181.020706,68.945068
I12052-2533W,13.09,9.27,11.76,31.28,5.99,,,-6.03,,,,No,N,0,0,0,0,2M,Simbad,181.303528,-25.565004
I12118+1249,12.55,9.46,11.33,36.5,4.51,,0.19,-5.87,,No,,,N,0,1,0,0,2M,Simbad,182.971191,12.820428
I12121+1248,12.54,9.72,11.17,33.43,,,0.11,-5.85,,No,,,N,0,1,0,0,2M,Simbad,183.0354,12.801419
I12121+4849,12.91,9.26,12.52,15.71,,5.4E-13,,-6.41,,,,,N,1,1,1,0,2M,Simbad,183.047348,48.817654
I12153-0237,11.37,8.67,11.06,100.48,15.24,6.6E-13,0.8,-5.86,,No,No,,N,0,1,1,0,2M,Simbad,183.826614,-2.62454
I12155-3948,11.16,8.17,11.18,146.88,,,0.93,-7.48,,No,,Yes,D,0,0,0,0,2M,Simbad,183.877991,-39.811821
I12156+5239,12.56,8.59,11.05,109.0,23.6,1.8E-12,5.05,-5.68,,No,,,N,0,1,1,1,2M,Simbad,183.914047,52.65247
I12157+5231,13.23,9.98,5.26,6937.87,5709.06,2.8E-13,8.15,-7.48,,Yes,No,,D,0,1,1,0,2M,Simbad,183.933807,52.517048
I12159+0538N,10.59,7.26,11.33,275.3,3.68,,-0.57,-5.81,,No,,,N,1,1,0,1,2M,Simbad,183.993164,5.640362
I12160-5614,11.17,8.77,9.95,250.64,,1.9E-12,0.57,-5.3,,No,,,N,0,0,1,0,2M,Simbad,184.004807,-56.235287
I12168+0258N,13.18,9.23,9.47,251.92,,,-0.08,-7.48,,Yes,,,D,2,1,0,0,2M,Simbad,184.216125,2.968032
I12179+2751S,12.87,9.7,11.73,20.68,,,-0.18,-6.08,,No,,No,N,0,1,0,0,2M,Simbad,184.492401,27.857687
I12205+4219,12.26,9.82,10.52,58.83,9.25,5.3E-13,1.34,-5.63,No,No,,No,N,0,1,1,0,2M,Simbad,185.149811,42.321697
I12206+3139,13.45,9.63,12.65,9.86,,,,-6.45,,,,No,N,0,2,0,0,2M,Simbad,185.172058,31.65576
I12213+5745,12.98,9.46,12.16,17.92,6.48,,,-6.25,No,,,,N,0,1,0,0,2M,Simbad,185.339432,57.752476
I12214+3038E,14.09,9.99,12.05,12.39,7.68,,2.34,-6.13,No,No,No,No,N,1,1,0,0,2M,Simbad,185.362732,30.643269
I12218+0605,13.59,9.89,11.9,15.41,,,1.14,-6.09,No,No,,,N,0,1,0,0,2M,Simbad,185.462784,6.089055
I12234-2309,10.79,8.16,10.51,259.26,29.84,1.9E-12,0.43,-5.55,,No,No,No,N,0,0,1,0,2M,Simbad,185.867676,-23.161369
I12248+4043,12.34,9.14,11.35,50.69,7.39,1.4E-13,0.15,-7.48,,No,,Yes,D,1,1,1,0,2M,Simbad,186.201187,40.727062
I12265+3347,12.75,9.59,11.39,31.82,6.41,2.5E-13,0.25,-5.91,,No,,No,N,0,1,1,0,2M,Simbad,186.634445,33.788845
I12278+3338,12.54,9.44,11.38,35.48,,,,-5.89,,,,No,N,0,1,0,0,2M,Simbad,186.963333,33.64539
I12347-2111,11.46,9.04,10.61,104.28,9.34,8.2E-13,,-5.65,,,,No,N,0,1,1,0,2M,Simbad,188.698761,-21.190315
I12354+3827,13.09,9.51,12.34,14.28,,,,-6.32,,,,No,N,1,0,0,0,2M,Simbad,188.857697,38.456993
I12376+3450,12.12,9.32,10.83,66.81,6.32,3.9E-13,0.33,-5.68,No,No,,No,N,0,1,1,0,2M,Simbad,189.419983,34.848759
I12386-2703,12.53,8.73,11.72,54.25,14.21,8.7E-13,1.46,-6.02,,No,No,No,N,0,1,1,0,2M,Simbad,189.654678,-27.059721
I12390+4702,12.21,8.65,12.09,40.85,5.26,6.8E-13,0.97,-6.21,,No,No,,N,1,1,1,1,2M,Simbad,189.769577,47.039742
I12405+3922,13.88,9.94,13.0,5.3,,,,-6.58,,,,No,N,1,0,0,0,2M,Simbad,190.138229,39.376442
I12444+1532,13.86,9.99,11.98,12.7,,,1.21,-7.48,Yes,No,No,,D,0,1,0,0,2M,Simbad,191.104034,15.536803
I12477-2323,13.83,9.88,12.4,10.29,,,,-6.34,,,,No,N,0,1,0,0,2M,Simbad,191.946274,-23.394377
