PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I23106-6108,13.34,9.99,10.54,51.06,9.19,,3.8,-5.56,,No,,,N,0,0,0,0,2M,Simbad,347.662781,-61.134113
I23119-1701,13.28,9.57,10.76,59.85,17.01,,5.18,-5.6,,No,No,,N,0,0,0,0,2M,Simbad,347.990814,-17.033007
I23133+5937,13.18,9.22,11.5,43.29,,8.4E-13,,-5.93,No,,,,N,0,0,1,0,2M,Simbad,348.348175,59.618885
I23157-1221,12.82,9.26,10.95,66.8,19.67,1.5E-12,5.13,-5.69,,No,,,N,0,1,1,0,2M,Simbad,348.932281,-12.363498
I23174+1936,12.0,8.02,11.5,123.3,36.12,2.0E-12,3.88,-7.48,No,No,,,L,1,1,1,1,2M,Simbad,349.367218,19.612974
I23195-3939,12.25,9.07,11.87,32.61,,,,-6.16,,,,No,N,0,1,0,0,2M,Simbad,349.887756,-39.656597
I23209-0147,13.56,9.36,10.99,58.48,11.3,7.4E-13,,-7.48,,,,,L,0,0,1,0,2M,Simbad,350.240326,-1.79369
I23221-0301,11.38,8.73,10.55,148.49,20.37,1.1E-12,0.52,-5.55,,No,,,N,0,1,1,0,2M,Simbad,350.54538,-3.028284
I23238+5325,13.46,9.69,12.18,14.23,,,,-6.22,,,,No,N,0,0,0,0,2M,Simbad,350.951019,53.433247
I23261-7323,11.87,8.84,10.82,113.52,35.72,1.6E-12,1.51,-5.7,,No,,,"N,Y",0,1,1,0,2M,Simbad,351.544617,-73.397209
I23283+0028,13.3,9.37,12.52,13.88,3.37,3.1E-13,,-6.36,,,,,N,1,1,1,0,2M,Simbad,352.09375,0.477644
I23293+4128,11.77,7.92,11.16,185.39,34.44,5.3E-12,5.44,-5.76,No,No,,No,N,1,1,1,1,2M,Simbad,352.347778,41.468575
I23300+1643,12.5,9.13,11.67,38.92,6.0,,2.27,-6.05,No,No,No,,N,0,1,0,0,2M,Simbad,352.506012,16.720037
I23302-2023,11.11,7.2,11.69,225.36,,3.7E-12,3.35,-7.48,,No,No,No,L,0,0,1,0,2M,Simbad,352.555939,-20.390942
I23318+1956Wn,10.05,6.16,11.06,1011.26,295.01,,4.32,-7.48,Yes,No,No,,D,1,1,0,1,2M,Simbad,352.967316,19.937267
I23325-1215,10.59,7.45,11.36,244.04,46.24,4.8E-12,1.02,-5.94,,No,No,,"N,Y",0,1,1,0,2M,Simbad,353.128601,-12.264285
I23333+2714,12.89,9.35,12.36,16.41,,4.3E-13,,-6.35,,,,No,N,1,1,1,0,2M,Simbad,353.327759,27.239452
I23334+7620,13.8,9.88,9.26,172.24,,,,-4.95,,,,,N,0,0,0,0,2M,Simbad,353.36676,76.336708
I23341-1531,12.19,8.91,10.75,113.02,,9.0E-13,1.48,-5.64,,No,No,,N,0,1,1,0,2M,Simbad,353.545837,-15.516992
I23343+2739,13.13,9.75,11.09,36.41,13.27,7.6E-13,1.88,-5.75,No,No,No,No,N,0,0,1,0,2M,Simbad,353.594818,27.665422
I23382-4131,11.95,8.36,12.52,35.8,12.71,,0.54,-6.44,,No,,No,N,0,0,0,0,2M,Simbad,354.57254,-41.517677
I23391-2557,13.8,9.71,13.19,5.64,,,,-6.67,,,,No,N,0,1,0,0,2M,Simbad,354.780121,-25.965681
I23425+6010,13.17,9.79,11.53,21.23,,,-0.55,-5.86,No,No,,,N,1,0,0,0,2M,Simbad,355.629272,60.181664
I23439+6444,11.3,8.15,10.95,179.03,,2.1E-12,2.26,-7.48,,No,,,L,1,0,1,1,2M,Simbad,355.997711,64.741356
I23450+1458,12.64,9.41,11.54,33.09,4.99,2.2E-13,0.83,-7.48,No,No,Yes,,D,1,1,1,0,2M,Simbad,356.27002,14.982594
I23451+3003,13.93,9.84,12.32,10.91,5.21,,1.2,-6.24,No,No,No,No,N,0,1,0,0,2M,Simbad,356.286163,30.055134
I23476-2316,13.82,9.79,12.51,9.64,,,1.76,-6.34,,No,No,No,N,0,1,0,0,2M,Simbad,356.90744,-23.268345
I23479+2544,13.61,9.91,12.29,10.83,3.96,,0.29,-6.3,No,No,,No,N,1,1,0,0,2M,Simbad,356.981598,25.738239
I23486-2739,12.4,8.58,11.61,66.11,,1.2E-12,1.74,-7.48,,No,,No,L,0,0,1,0,2M,Simbad,357.150452,-27.660719
I23490-0824,13.67,9.5,12.92,8.43,,,,-6.49,,,,,N,0,1,0,0,2M,Simbad,357.259705,-8.408591
I23492+1005,13.65,9.46,12.08,18.11,,1.9E-13,1.84,-6.07,No,No,No,,N,1,1,1,0,2M,Simbad,357.312592,10.094108
I23494+1859E,12.06,9.17,11.29,51.83,8.58,,0.29,-5.93,No,No,,,N,0,1,0,0,2M,Simbad,357.359161,18.986839
I23498+3956,12.36,9.28,10.52,94.38,15.35,2.1E-13,1.15,-7.48,No,No,No,Yes,D,0,1,1,0,2M,Simbad,357.462769,39.938721
I23498+2427,13.98,9.9,11.35,24.86,9.0,5.2E-13,4.02,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,357.473633,24.463707
I23498+2721,14.04,9.89,11.91,14.86,6.51,6.2E-13,2.6,-6.04,No,No,No,No,N,1,1,1,0,2M,Simbad,357.474304,27.361256
I23515+3127,13.6,9.82,11.01,37.19,,6.6E-13,2.75,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,357.89032,31.456356
I23535+1206S,12.3,8.67,10.55,159.61,28.37,7.9E-13,2.41,-5.49,No,No,No,,N,0,1,1,1,2M,Simbad,358.398468,12.104627
I23536-3559,13.47,9.41,11.96,22.65,11.26,,-0.19,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,358.420654,-35.984943
I23548+8436,12.72,9.78,11.33,28.9,,2.2E-13,,-5.95,,,,,N,0,0,1,0,2M,Simbad,358.71759,84.609253
I23559-1321,13.38,9.26,11.69,32.44,11.07,3.9E-13,3.72,-5.94,,No,,,N,0,1,1,0,2M,Simbad,358.979828,-13.356616
I23563-0429,13.76,9.64,12.3,13.47,,,1.48,-6.24,,No,No,,N,0,1,0,0,2M,Simbad,359.085022,-4.492122
I23578+3837,12.62,8.69,11.46,67.79,,2.0E-12,4.16,-7.48,Yes,No,,No,D,1,0,1,1,2M,Simbad,359.457825,38.629635
I23582-1724,11.97,8.31,10.81,183.17,42.64,2.1E-12,3.42,-5.63,,No,,,N,0,0,1,0,2M,Simbad,359.557007,-17.409384
I23583+2115,13.27,9.92,11.91,14.88,,,0.11,-6.17,No,No,,No,N,1,1,0,0,2M,Simbad,359.594513,21.266293
I23590+2051,13.19,9.07,13.01,11.97,6.55,,,-6.57,,,,No,N,1,1,0,0,2M,Simbad,359.75174,20.860765
